246,Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,5,1,3,0,11,0,40,47,4
247,Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,39,2
248,Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,0,3,0,4,0,2,0,7,1,29,35,2
249,Indian Institute of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,0,3,0,5,0,2,0,8,1,31,37,2
250,Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,0,3,0,5,0,2,0,7,1,31,37,2
251,Indian Institute of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,5,1,3,0,10,1,42,50,3
252,Indian Institute of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,1,5,0,5,1,3,0,11,0,42,50,3
253,Indian Institute of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,0,3,1,6,0,2,1,12,0,42,50,3
254,Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,40,0
255,Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,40,0
256,Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,9,0,32,40,0
257,Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,4,1,2,0,9,0,32,40,0
258,Indian Institute of Technology Jammu,"Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,0,3,0,4,1,2,0,9,0,32,40,0
259,Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,0,2,1,5,0,1,1,9,0,32,40,0
260,Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,5,0,7,1,3,0,12,1,49,58,3
261,Indian Institute of Technology Dharwad,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,1,7,0,2,1,11,0,44,52,3
262,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,1,0,0,0,1,0,4,0,12,15,0
263,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,7,0,3,0,10,1,43,50,4
264,,,,Total Seats,6260,336,1526,75,2304,125,1161,61,4165,219,16232,14698,1534
